,speed,gust,visibility,ceiling,cover,precipitation,obscuration,thunderstorms,snow,clouds,reason,fuel,holding_flights
255,3.6,0.0,800.0,30.0,10.0,False,True,False,False,False,Other,323.4401501699526,2.0
256,3.6,0.0,800.0,30.0,10.0,False,True,False,False,False,Other,323.4401501699526,2.0
257,2.06,0.0,2600.0,213.0,8.0,True,False,False,False,True,,,
258,1.03,0.0,7000.0,427.0,6.0,False,False,False,False,False,,93.79744197879926,1.0
259,4.63,0.0,9999.0,3048.0,2.0,False,False,False,False,False,,,
260,2.57,0.0,900.0,30.0,6.0,False,True,False,False,False,Other,2399.9553271318946,5.0
261,2.57,0.0,900.0,30.0,6.0,False,True,False,False,False,Other,2399.9553271318946,5.0
262,6.17,0.0,9999.0,3048.0,4.0,False,False,False,False,False,,553.1930623519655,1.0
263,0.51,0.0,4000.0,1219.0,6.0,False,True,False,False,False,,108.18586457257229,1.0
264,3.09,0.0,9999.0,3048.0,4.0,True,False,False,False,False,,129.2197881659727,1.0
265,3.09,0.0,2000.0,61.0,6.0,False,True,False,False,False,Other,2400.639084548666,5.0
266,3.09,0.0,2000.0,61.0,6.0,False,True,False,False,False,Other,2400.639084548666,5.0
267,4.63,0.0,9999.0,335.0,6.0,True,False,False,False,True,,464.8721462464434,2.0
268,1.54,0.0,4500.0,3048.0,4.0,False,True,False,False,False,Other,1131.2800093429678,10.0
269,1.54,0.0,4500.0,3048.0,4.0,False,True,False,False,False,Other,1131.2800093429678,10.0
270,4.63,0.0,9000.0,305.0,8.0,True,False,False,False,True,,373.8401465061071,1.0
271,1.54,0.0,7000.0,91.0,6.0,False,False,False,False,False,Other,57.0923165020369,2.0
272,2.57,0.0,9999.0,792.0,6.0,True,False,False,False,False,,132.85739332535388,1.0
273,3.09,0.0,9999.0,3048.0,0.0,False,False,False,False,False,,,
274,3.09,0.0,7000.0,457.0,6.0,True,False,False,False,False,Other,79.33123812790868,1.0
275,2.06,0.0,9000.0,518.0,6.0,True,False,False,False,False,,106.13605094497922,1.0
276,3.6,0.0,9999.0,366.0,6.0,False,False,False,False,False,Other,94.13948694715889,1.0
277,3.09,0.0,9999.0,3048.0,0.0,False,False,False,False,False,,,
278,1.03,0.0,1000.0,1219.0,8.0,True,True,False,False,False,,106.70066822447896,1.0
279,5.66,0.0,9999.0,3048.0,2.0,False,False,False,False,False,,97.0842234808509,1.0
